Quarter,Start,End
Summer,6/27/16,9/18/16
Fall,9/19/16,1/3/16
Winter,1/4/17,3/29/17
Spring,3/30/17,7/2/17
Summer,7/3/17,9/24/17
Fall,9/25/17,1/2/18
Winter,1/3/18,3/27/18
Spring,3/28/18,7/1/18
Summer,7/2/18,9/24/18
Fall,9/25/18,1/2/19
Winter,1/3/19,3/27/19
Spring,3/28/19,7/1/19
Summer,7/2/19,9/22/19
Fall,9/23/19,1/1/20
Winter,1/2/20,3/24/20
Spring,3/25/20,6/28/20
Summer,6/29/20,9/27/20
Fall,9/28/20,1/3/21
Winter,1/4/21,3/23/21
Spring,3/24/23,6/27/21
Summer,6/28/21,9/19/21
Fall,9/20/21,1/2/22
Winter,1/3/22,3/22/22
Spring,3/23/22,6/26/22
Summer,6/27/22,9/18/22
Fall,9/19/22,1/3/23
Winter,1/4/23,3/28/23
Spring,3/29/23,7/2/23
Summer,7/3/23,9/24/23
